TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Terrance Ferguson,LAR,11.0,47.93,30.11,393.93,3.48,0.4,1.0,0.01,75.49,90.54,105.6,0.46,0.08,0.0,5.71
Mason Taylor,NYJ,13.0,51.09,40.52,353.21,1.86,0.0,0.0,0.0,66.74,87.0,107.26,0.36,0.06,0.0,4.36
Jonnu Smith,FA,,0.0,30.6,285.6,2.21,0.0,74.8,0.68,68.68,83.98,99.28,0.38,0.06,0.0,0.0
Michael Mayer,LV,13.0,53.01,37.4,349.97,1.67,0.0,0.0,0.0,63.72,82.42,101.12,0.35,0.06,0.0,4.1
Darnell Washington,PIT,9.0,43.96,32.17,345.57,2.15,0.0,0.14,0.1,64.16,80.24,96.33,0.34,0.06,0.0,4.83
Dawson Knox,BUF,7.0,39.8,27.23,318.01,2.69,0.0,0.0,0.0,61.56,75.17,88.79,0.28,0.04,0.0,4.51
Taysom Hill,NO,8.0,43.4,21.55,224.7,0.71,0.0,161.3,1.52,62.75,73.53,84.31,0.44,0.08,0.0,1.75
Theo Johnson,NYG,8.0,44.28,27.13,307.03,2.44,0.0,0.0,0.0,58.91,72.47,86.04,0.26,0.04,0.0,3.8
Cole Kmet,CHI,10.0,34.44,26.29,282.02,2.15,0.0,0.14,0.0,54.26,67.41,80.55,0.21,0.03,0.0,4.08
Jake Tonges,SF,8.0,36.76,25.0,248.61,2.58,0.0,0.0,0.0,52.84,65.34,77.84,0.15,0.02,0.0,2.99
